id,is_humor,humor_rating,humor_mechanism,humor_target
tweet30001,1,2.133262,,technology
tweet30002,1,2.3193302,absurd,
tweet30003,0,0.0,,
tweet30004,0,0.0,,
tweet30005,0,0.0,,professions
tweet30006,0,0.0,,professions
tweet30007,0,0.0,,
tweet30008,0,0.0,,
tweet30009,0,0.0,absurd,
tweet30010,0,0.0,,
tweet30011,0,0.0,,
tweet30012,0,0.0,,
tweet30013,0,0.0,,
tweet30014,0,0.0,,
tweet30015,1,2.0096214,,
tweet30016,0,0.0,,
tweet30017,1,2.2368612,wordplay,
tweet30018,0,0.0,,
tweet30019,1,2.22069,,religion
tweet30020,0,0.0,wordplay,professions
tweet30021,0,0.0,,
tweet30022,1,2.3775103,,age
tweet30023,0,0.0,,
tweet30024,1,2.1394331,analogy,
tweet30025,0,0.0,,
tweet30026,1,2.2265055,unmasking,
tweet30027,0,0.0,,
tweet30028,1,2.226516,misunderstanding,professions
tweet30029,0,0.0,,
tweet30030,0,0.0,,
tweet30031,1,2.2268322,wordplay,
tweet30032,0,0.0,,
tweet30033,0,0.0,,
tweet30034,1,1.9591082,embarrassment,body shaming
tweet30035,0,0.0,,
tweet30036,0,0.0,,
tweet30037,0,0.0,,
tweet30038,0,0.0,,
tweet30039,1,2.2400403,misunderstanding,sexual aggressors
tweet30040,0,0.0,,
tweet30041,0,0.0,,
tweet30042,0,0.0,,
tweet30043,1,2.5382123,wordplay,
tweet30044,0,0.0,,
tweet30045,0,0.0,,
tweet30046,0,0.0,,
tweet30047,1,2.409861,wordplay,professions
tweet30048,1,1.9714435,wordplay,family/relationships
tweet30049,0,0.0,exaggeration,self-deprecating
tweet30050,0,0.0,parody,
tweet30051,0,0.0,,
tweet30052,0,0.0,,
tweet30053,1,1.9626911,,
tweet30054,1,2.2290244,unmasking,
tweet30055,0,0.0,,
tweet30056,0,0.0,,
tweet30057,0,0.0,,
tweet30058,1,2.4090276,wordplay,
tweet30059,1,2.3421226,wordplay,
tweet30060,0,0.0,,
tweet30061,0,0.0,,
tweet30062,1,1.8587613,,
tweet30063,0,0.0,embarrassment,
tweet30064,1,1.8862158,,
tweet30065,0,0.0,,
tweet30066,0,0.0,,religion
tweet30067,0,0.0,,
tweet30068,0,0.0,,
tweet30069,0,0.0,,
tweet30070,0,0.0,,
tweet30071,0,0.0,,
tweet30072,1,2.2265992,irony,
tweet30073,0,0.0,,
tweet30074,0,0.0,analogy,
tweet30075,0,0.0,,
tweet30076,0,0.0,exaggeration,
tweet30077,1,1.9689499,exaggeration,men
tweet30078,0,0.0,,
tweet30079,1,2.2276287,,
tweet30080,0,0.0,,
tweet30081,1,2.409964,unmasking,
tweet30082,0,0.0,,
tweet30083,0,0.0,,
tweet30084,0,0.0,exaggeration,
tweet30085,0,0.0,reference,self-deprecating
tweet30086,1,2.1369596,,
tweet30087,0,0.0,,
tweet30088,0,0.0,,
tweet30089,1,2.2402837,,
tweet30090,0,0.0,,
tweet30091,1,1.969161,wordplay,
tweet30092,0,0.0,,
tweet30093,0,0.0,,professions
tweet30094,0,0.0,,
tweet30095,0,0.0,,
tweet30096,1,2.226625,wordplay,
tweet30097,0,0.0,,
tweet30098,0,0.0,,substance use
tweet30099,0,0.0,,women
tweet30100,0,0.0,,
tweet30101,1,1.8970448,analogy,
tweet30102,1,2.001221,stereotype,body shaming
tweet30103,0,0.0,,
tweet30104,1,1.9609382,,
tweet30105,0,0.0,,
tweet30106,0,0.0,,
tweet30107,0,0.0,,
tweet30108,0,0.0,,age
tweet30109,0,0.0,,
